SL,Category,Job Title,Skills,Experience,Salary,Job Link
38,Mobile Developer,Contract Mobile Developer,"Vue.js, PHP, iOS, GCP",1 year(s),"Tk. 90,000 - 120,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000038
39,Systems Administrator,Systems Administrator - Europe Based,"TensorFlow, Computer Vision, Git, Redis, Docker",5 year(s),"BDT 30,000 - 30,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000039
40,DevOps Engineer,Intern DevOps Engineer,"Angular, Security, .NET, PostgreSQL, Golang",2 year(s),"Tk. 20,000 - 40,000 (Monthly)",https://www.linkedin.com/jobs/view/4316917585
41,Computer Vision Engineer,Senior Computer Vision Engineer,"pandas, PyTorch, Redis, C#, JavaScript",6 year(s),"৳15,000 - ৳45,000 per month",https://www.linkedin.com/jobs/view/4332405524
42,Data Scientist,Lead Data Scientist,"Git, NLP, GCP",4 year(s),"$64,928-$133,977 per year",https://www.linkedin.com/jobs/view/4338156913
43,Full Stack Developer,Lead Full Stack Developer,"TypeScript, Vue.js, Spring, PHP, C#",4 year(s),"BDT 90,000/month",https://www.linkedin.com/jobs/view/4321726532
44,Computer Vision Engineer,Lead Computer Vision Engineer,"Power BI, HTML, Selenium, TypeScript, Linux",9 year(s),"BDT 30,000/month",https://www.linkedin.com/jobs/view/4000000044
45,Machine Learning Engineer,Machine Learning Engineer (Remote),"Kotlin, MongoDB, Terraform, Azure, MySQL, Spark",6 year(s),"BDT 10,000/month",https://www.linkedin.com/jobs/view/4000000045
46,Web Developer,Intern Web Developer,"NLP, C#, pandas",1 year(s),"$51,894 per year",https://www.linkedin.com/jobs/view/4000000046
47,QA Engineer,QA Engineer (Remote),"Redis, GCP, Kotlin, NumPy",2 year(s),"$76,051-$90,860 per year",https://www.linkedin.com/jobs/view/4000000047
48,Mobile Developer,Contract Mobile Developer,"GCP, JavaScript, .NET, Hadoop, Kubernetes, GraphQL",6 year(s),"$53,340 per year",https://www.linkedin.com/jobs/view/4000000048
49,Computer Vision Engineer,Intern Computer Vision Engineer,"Android, Spring, MongoDB, Git",Fresh / 0-1 year,"৳30,000 - ৳30,000 per month",https://www.linkedin.com/jobs/view/4000000049
50,Security Engineer,Security Engineer - Worldwide Based,"PHP, Scikit-learn, Git, Java, AWS, .NET",4 year(s),"$48,946-$68,096 per year",https://www.linkedin.com/jobs/view/4315216564
51,Software Engineer,Junior Software Engineer,"CI/CD, pandas, Docker, Redis, Git, NLP",2 year(s),"$52,363 per year",https://www.linkedin.com/jobs/view/4000000051
52,Software Developer,Software Developer - iOS Developer,"NumPy, Flask, Express.js, Spark",8 year(s),"$68,855 per year",https://www.linkedin.com/jobs/view/4000000052
53,IT Support,IT Support - Mobile,"GraphQL, Kotlin, Azure, CSS, Vue.js",12 year(s),"৳70,000 - ৳90,000 per month",https://www.linkedin.com/jobs/view/4000000053
54,Frontend Developer,Frontend Developer - Java Developer,"NLP, HTML, Android",9 year(s),"Tk. 40,000 - 40,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000054
55,QA Engineer,Lead QA Engineer,"Jenkins, Swift, Power BI, C#, Spring, Bash",Fresh / 0-1 year,"$80,613-$122,179 per year",https://www.linkedin.com/jobs/view/4000000055
56,Product Engineer,Senior Product Engineer,"PostgreSQL, Swift, CI/CD, Spring, React, PyTorch",10 year(s),"৳70,000 - ৳90,000 per month",https://www.linkedin.com/jobs/view/4315907244
57,Security Engineer,Intern Security Engineer,"Jenkins, PostgreSQL, Kotlin, Django, Security",5 year(s),"BDT 100,000/month",https://www.linkedin.com/jobs/view/4000000057
58,Frontend Developer,Frontend Developer (Remote),"MongoDB, Power BI, PyTorch",Fresh / 0-1 year,"BDT 20,000/month",https://www.linkedin.com/jobs/view/4000000058
59,Machine Learning Engineer,Contract Machine Learning Engineer,"Security, Spring, Laravel, Bash, pandas",8 year(s),"$62,198-$87,293 per year",https://www.linkedin.com/jobs/view/4000000059
60,Research Assistant,Research Assistant - Flutter Developer,"Laravel, CI/CD, Node.js",3 year(s),"$57,181 per year",https://www.linkedin.com/jobs/view/4000000060
61,Security Engineer,Security Engineer (Remote),"Kotlin, MongoDB, CSS, GCP, Node.js, Express.js",Fresh / 0-1 year,"Tk. 90,000 - 90,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000061
62,Systems Administrator,Intern Systems Administrator,"GCP, CSS, Angular, Security",2 year(s),"$58,333 per year",https://www.linkedin.com/jobs/view/4000000062
63,Product Engineer,AI Product Engineer,"JavaScript, Azure, MySQL, .NET, Node.js",12 year(s),"Tk. 130,000 - 300,000 (Monthly)",https://www.linkedin.com/jobs/view/4315212392
64,Database Administrator,Intern Database Administrator,"Bash, Terraform, Golang, Redis",3 year(s),"BDT 20,000/month",https://www.linkedin.com/jobs/view/4315216564
65,Data Scientist,Intern Data Scientist,"Django, C#, Laravel, JavaScript, Express.js",3 year(s),"$71,211-$139,967 per year",https://www.linkedin.com/jobs/view/4000000065
66,Product Engineer,Contract Product Engineer,"Scikit-learn, CSS, Django, JavaScript, pandas",6 year(s),"Tk. 90,000 - 120,000 (Monthly)",https://www.linkedin.com/jobs/view/4318434948
67,Web Developer,Web Developer - PHP Developer,"Scikit-learn, Spark, REST API, TensorFlow, Angular",3 year(s),"$82,658-$120,841 per year",https://www.linkedin.com/jobs/view/4000000067
68,Mobile Developer,Mobile Developer (Remote),"TensorFlow, SQL, TypeScript, Laravel, Kubernetes",11 year(s),"$44,399-$66,356 USD (Annual)",https://www.linkedin.com/jobs/view/4000000068
69,NLP Engineer,Intern NLP Engineer,"TypeScript, Node.js, GCP, Docker, Terraform",1 year(s),"$87,255-$103,998 per year",https://www.linkedin.com/jobs/view/4000000069
70,Data Analyst,Data Analyst - Remote Based,"Ansible, Angular, Docker, Git",2 year(s),"BDT 70,000/month",https://www.linkedin.com/jobs/view/4338156913
71,Computer Vision Engineer,Senior Computer Vision Engineer,"Terraform, Java, Jenkins, TypeScript",6 year(s),"$42,009 per year",https://www.linkedin.com/jobs/view/4000000071
72,IT Support,Security IT Support,"iOS, SQL, Tableau, Jenkins, REST API",Fresh / 0-1 year,"Tk. 20,000 - 20,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000072
73,Security Engineer,Lead Security Engineer,"Docker, TensorFlow, Node.js",3 year(s),"BDT 40,000 - 40,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000073
74,Software Engineer,Junior Software Engineer,"PostgreSQL, SQL, Node.js, Python, NumPy",2 year(s),"Tk. 30,000 - 50,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000074
75,IT Support,Backend IT Support,"Jenkins, Azure, Android, HTML, GCP, PostgreSQL",1 year(s),"$51,263 per year",https://www.linkedin.com/jobs/view/4000000075
76,Data Analyst,Contract Data Analyst,"Azure, Terraform, MongoDB",4 year(s),"Tk. 20,000 - 20,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000076
77,QA Engineer,QA Engineer (Remote),"Laravel, .NET, C#, REST API",3 year(s),"৳90,000 - ৳120,000 per month",https://www.linkedin.com/jobs/view/4000000077
78,Teaching,Teaching (Remote),"PyTorch, HTML, MongoDB, Power BI, MySQL, Selenium",Fresh / 0-1 year,"৳40,000 - ৳70,000 per month",https://www.linkedin.com/jobs/view/4000000078
79,Full Stack Developer,Full Stack Developer - Worldwide Based,"PyTorch, Linux, Jenkins",5 year(s),"৳20,000 - ৳20,000 per month",https://www.linkedin.com/jobs/view/4321726532
80,Cloud Engineer,Cloud Engineer - Bangladesh Based,"Hadoop, Terraform, GraphQL, Spring, Kubernetes, Linux",9 year(s),"BDT 50,000/month",https://www.linkedin.com/jobs/view/4000000080
81,AI Researcher,Intern AI Researcher,"Redis, Vue.js, Selenium, TypeScript",2 year(s),"Tk. 70,000 - 80,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000081
82,Teaching,Teaching - Python Developer,"Django, Kubernetes, MongoDB, C#, C++",2 year(s),"Tk. 20,000 - 30,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000082
83,Research Assistant,Junior Research Assistant,"C#, Security, Kotlin, Tableau",2 year(s),"$42,863-$106,715 per year",https://www.linkedin.com/jobs/view/4000000083
84,NLP Engineer,NLP Engineer - Security,"Security, .NET, Kubernetes, Swift, Jenkins, PyTorch",2 year(s),"$72,958-$152,093 per year",https://www.linkedin.com/jobs/view/4000000084
85,Backend Developer,Contract Backend Developer,"Android, Ansible, Hadoop",8 year(s),"৳20,000 - ৳40,000 per month",https://www.linkedin.com/jobs/view/4000000085
86,Web Developer,Senior Web Developer,"JavaScript, Azure, Spark, Kubernetes, PHP, AWS",8 year(s),"BDT 50,000/month",https://www.linkedin.com/jobs/view/4000000086
87,Full Stack Developer,Full Stack Developer - India Based,"Vue.js, Django, Laravel",1 year(s),"BDT 70,000/month",https://www.linkedin.com/jobs/view/4337410751
88,Software Developer,Software Developer (Remote),"Security, NumPy, REST API",4 year(s),"$59,088-$125,349 USD (Annual)",https://www.linkedin.com/jobs/view/4000000088
89,Database Administrator,Contract Database Administrator,"React, Hadoop, CI/CD, Spark, Power BI",10 year(s),"৳90,000 - ৳90,000 per month",https://www.linkedin.com/jobs/view/4000000089
90,QA Engineer,QA Engineer (Remote),"Express.js, Flask, Docker, CI/CD, Redis",4 year(s),"$84,871 per year",https://www.linkedin.com/jobs/view/4000000090
91,Data Scientist,Data Scientist - Frontend,"Flask, Power BI, .NET, SQL",10 year(s),"Tk. 90,000 - 110,000 (Monthly)",https://www.linkedin.com/jobs/view/4332405524
92,Software Developer,Platform Software Developer,"Azure, Computer Vision, PyTorch, AWS, Redis, C#",2 year(s),"৳40,000 - ৳40,000 per month",https://www.linkedin.com/jobs/view/4000000092
93,AI Researcher,AI Researcher (Remote),"TypeScript, PostgreSQL, MongoDB, PyTorch, REST API",4 year(s),"Tk. 50,000 - 80,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000093
94,Backend Developer,Backend Backend Developer,"Django, Java, Ansible, REST API",6 year(s),"BDT 15,000/month",https://www.linkedin.com/jobs/view/4000000094
95,BI Developer,Mobile BI Developer,"NLP, React, Jenkins, Express.js, Hadoop, Kubernetes",3 year(s),"BDT 15,000 - 15,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000095
96,AI Researcher,AI Researcher - USA Based,"GraphQL, PostgreSQL, Kotlin, NumPy",1 year(s),"$69,625 per year",https://www.linkedin.com/jobs/view/4000000096
97,Research Assistant,Research Assistant - Platform,"Android, Kotlin, HTML, C#",4 year(s),"BDT 30,000 - 40,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000097
98,AI Researcher,Intern AI Researcher,"React, MongoDB, Azure",11 year(s),"Tk. 70,000 - 100,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000098
99,Product Engineer,Contract Product Engineer,"Tableau, Express.js, TensorFlow, Spark",6 year(s),"$73,954-$104,010 per year",https://www.linkedin.com/jobs/view/4000000099
100,Computer Vision Engineer,Computer Vision Engineer (Remote),".NET, HTML, Git, MySQL, Express.js",3 year(s),"BDT 20,000 - 30,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000100
101,Database Administrator,Senior Database Administrator,"CSS, C++, Tableau, Jenkins, GCP",3 year(s),"৳40,000 - ৳60,000 per month",https://www.linkedin.com/jobs/view/4000000101
102,Full Stack Developer,Junior Full Stack Developer,"GCP, pandas, Scikit-learn, C++, Redis, REST API",2 year(s),"BDT 50,000 - 80,000 (Monthly)",https://www.linkedin.com/jobs/view/4337410751
103,Mobile Developer,Mobile Developer - AI,"PHP, Java, Angular, JavaScript, PostgreSQL, AWS",9 year(s),"BDT 20,000/month",https://www.linkedin.com/jobs/view/4000000103
104,Cloud Engineer,Cloud Engineer - USA Based,"Vue.js, Azure, Spark",1 year(s),"Tk. 50,000 - 50,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000104
105,Full Stack Developer,Full Stack Developer - React Developer,"Laravel, iOS, Kubernetes, NLP",1 year(s),"BDT 30,000/month",https://www.linkedin.com/jobs/view/4000000105
106,AI Researcher,AI Researcher (Remote),"Kubernetes, Power BI, Redis, Git, Terraform, NLP",3 year(s),"Tk. 10,000 - 10,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000106
107,Security Engineer,Intern Security Engineer,"SQL, GraphQL, Spring, Azure",1 year(s),"$78,910 per year",https://www.linkedin.com/jobs/view/4000000107
108,Computer Vision Engineer,Data Computer Vision Engineer,"Swift, Node.js, GCP, Selenium, MongoDB",3 year(s),"Tk. 40,000 - 50,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000108
109,Cloud Engineer,Senior Cloud Engineer,".NET, Django, PyTorch",6 year(s),"৳30,000 - ৳60,000 per month",https://www.linkedin.com/jobs/view/4000000109
110,Cloud Engineer,Contract Cloud Engineer,"SQL, C#, Scikit-learn, CI/CD, Redis, Bash",3 year(s),"BDT 40,000 - 70,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000110
111,Frontend Developer,Frontend Developer - Bangladesh Based,"pandas, Docker, Git, Power BI, iOS",1 year(s),"BDT 70,000/month",https://www.linkedin.com/jobs/view/4000000111
112,Full Stack Developer,Full Stack Developer - Frontend,"C++, .NET, Bash, CI/CD, MySQL, Git",4 year(s),"Tk. 30,000 - 40,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000112
113,Software Developer,Software Developer - Europe Based,"Swift, Tableau, Express.js",Fresh / 0-1 year,"৳20,000 - ৳50,000 per month",https://www.linkedin.com/jobs/view/4000000113
114,Full Stack Developer,Full Stack Developer (Remote),"CI/CD, Computer Vision, iOS, Ansible",7 year(s),"৳20,000 - ৳20,000 per month",https://www.linkedin.com/jobs/view/4000000114
115,Software Developer,Backend Software Developer,"Scikit-learn, CSS, CI/CD, Hadoop, NumPy",7 year(s),"$70,672-$116,433 USD (Annual)",https://www.linkedin.com/jobs/view/4000000115
116,NLP Engineer,Senior NLP Engineer,"Power BI, PostgreSQL, Jenkins, Swift, NLP",3 year(s),"$66,574 per year",https://www.linkedin.com/jobs/view/4000000116
117,Research Assistant,Research Assistant - Remote Based,"PHP, Python, Laravel, AWS, PyTorch",5 year(s),"BDT 10,000/month",https://www.linkedin.com/jobs/view/4000000117
118,Product Engineer,Contract Product Engineer,"Kotlin, Node.js, HTML, PostgreSQL, Kubernetes",4 year(s),"$71,338-$101,416 per year",https://www.linkedin.com/jobs/view/4000000118
119,Computer Vision Engineer,Lead Computer Vision Engineer,"Hadoop, PyTorch, Android",3 year(s),"BDT 30,000 - 40,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000119
120,Data Analyst,Contract Data Analyst,"Linux, JavaScript, Scikit-learn, Express.js, Spark, GCP",1 year(s),"৳40,000 - ৳40,000 per month",https://www.linkedin.com/jobs/view/4332405524
121,Database Administrator,Frontend Database Administrator,"CI/CD, JavaScript, React",9 year(s),"BDT 70,000 - 80,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000121
122,Product Engineer,Contract Product Engineer,"CSS, Terraform, Docker, Node.js",3 year(s),"Tk. 20,000 - 30,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000122
123,Research Assistant,Lead Research Assistant,"Scikit-learn, Docker, Java, MySQL",3 year(s),"$42,111 per year",https://www.linkedin.com/jobs/view/4000000123
124,Web Developer,Intern Web Developer,"PHP, Computer Vision, Flask",1 year(s),"BDT 10,000/month",https://www.linkedin.com/jobs/view/4000000124
125,Database Administrator,Junior Database Administrator,"GCP, MongoDB, MySQL, JavaScript",2 year(s),"Tk. 70,000 - 100,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000125
126,Cloud Engineer,Junior Cloud Engineer,"AWS, C#, NLP, CI/CD, pandas",1 year(s),"Tk. 20,000 - 50,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000126
127,AI Researcher,Lead AI Researcher,"C++, Redis, CSS, Vue.js, PyTorch",3 year(s),"BDT 30,000/month",https://www.linkedin.com/jobs/view/4000000127
128,Web Developer,Lead Web Developer,"MongoDB, Python, C++, .NET, Computer Vision",2 year(s),"$85,588-$122,393 per year",https://www.linkedin.com/jobs/view/4000000128
129,Full Stack Developer,Full Stack Developer - Cloud,"Kubernetes, Spark, NumPy, Scikit-learn, Angular",6 year(s),"$60,986-$97,610 per year",https://www.linkedin.com/jobs/view/4000000129
130,Database Administrator,Database Administrator - AI,"PostgreSQL, Java, .NET, Redis, Golang, AWS",4 year(s),"৳50,000 - ৳70,000 per month",https://www.linkedin.com/jobs/view/4000000130
131,NLP Engineer,Contract NLP Engineer,"C#, CI/CD, CSS, JavaScript, Hadoop, Flask",3 year(s),"$83,792-$100,150 USD (Annual)",https://www.linkedin.com/jobs/view/4000000131
132,Web Developer,Contract Web Developer,"Kubernetes, JavaScript, GraphQL, HTML, TypeScript, Security",11 year(s),"Tk. 10,000 - 40,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000132
133,AI Researcher,Junior AI Researcher,"Angular, Hadoop, Java",3 year(s),"৳50,000 - ৳70,000 per month",https://www.linkedin.com/jobs/view/4000000133
134,Product Engineer,Product Engineer (Remote),"Vue.js, Azure, AWS",2 year(s),"Tk. 10,000 - 20,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000134
135,Database Administrator,Lead Database Administrator,"MySQL, Flask, React, Swift, Terraform, CI/CD",3 year(s),"BDT 50,000 - 50,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000135
136,Web Developer,Intern Web Developer,"Swift, CI/CD, Redis, AWS, NLP, Computer Vision",1 year(s),"$72,819-$128,151 USD (Annual)",https://www.linkedin.com/jobs/view/4000000136
137,Web Developer,Senior Web Developer,"Power BI, PyTorch, NumPy, Golang, Docker",6 year(s),"BDT 70,000/month",https://www.linkedin.com/jobs/view/4000000137
138,Web Developer,Junior Web Developer,"SQL, Kubernetes, Angular, Vue.js, Python, MongoDB",2 year(s),"৳15,000 - ৳25,000 per month",https://www.linkedin.com/jobs/view/4000000138
139,Data Analyst,Contract Data Analyst,"REST API, Power BI, SQL",6 year(s),"BDT 70,000 - 70,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000139
140,Research Assistant,Research Assistant - Cloud,"MySQL, NumPy, Java, React, Spring",2 year(s),"BDT 15,000/month",https://www.linkedin.com/jobs/view/4000000140
141,BI Developer,Junior BI Developer,"Python, Azure, Redis, Security, GraphQL",2 year(s),"BDT 70,000/month",https://www.linkedin.com/jobs/view/4000000141
142,Security Engineer,Platform Security Engineer,"Computer Vision, Kotlin, HTML, NumPy, Jenkins",5 year(s),"Tk. 70,000 - 90,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000142
143,Research Assistant,Lead Research Assistant,"Linux, PostgreSQL, Security, Kotlin, React, Power BI",6 year(s),"BDT 40,000/month",https://www.linkedin.com/jobs/view/4000000143
144,Systems Administrator,Intern Systems Administrator,"CI/CD, Spark, Kotlin, GCP, Terraform, Flask",1 year(s),"$75,186-$96,324 USD (Annual)",https://www.linkedin.com/jobs/view/4000000144
145,Machine Learning Engineer,Machine Learning Engineer - Android Developer,"Python, Angular, Laravel",3 year(s),"BDT 30,000/month",https://www.linkedin.com/jobs/view/4000000145
146,QA Engineer,QA Engineer - Backend,"Vue.js, Node.js, Security, iOS, Java, Docker",2 year(s),"$74,151-$147,449 per year",https://www.linkedin.com/jobs/view/4000000146
147,NLP Engineer,NLP Engineer - Security,"Linux, Android, Node.js",Fresh / 0-1 year,"BDT 15,000 - 25,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000147
148,Mobile Developer,Lead Mobile Developer,"HTML, C#, Ansible, Terraform, TypeScript, TensorFlow",3 year(s),"৳30,000 - ৳60,000 per month",https://www.linkedin.com/jobs/view/4000000148
149,DevOps Engineer,Contract DevOps Engineer,"Kubernetes, SQL, .NET, Scikit-learn",3 year(s),"$74,584 per year",https://www.linkedin.com/jobs/view/4321622737
150,Database Administrator,Database Administrator - Europe Based,"Bash, Swift, Android, Linux",3 year(s),"Tk. 20,000 - 40,000 (Monthly)",https://www.linkedin.com/jobs/view/4000000150
151,Machine Learning Engineer,Machine Learning Engineer - Python Developer,"Jenkins, AWS, TensorFlow, C#",3 year(s),"৳20,000 - ৳30,000 per month",https://www.linkedin.com/jobs/view/4000000151
152,Mobile Developer,Senior Mobile Developer,"Express.js, .NET, Bash, AWS, Git, Spark",6 year(s),"৳70,000 - ৳100,000 per month",https://www.linkedin.com/jobs/view/4000000152
153,Frontend Developer,Lead Frontend Developer,"Spring, Tableau, Scikit-learn, Jenkins, Computer Vision",6 year(s),"BDT 15,000/month",https://www.linkedin.com/jobs/view/4000000153
154,NLP Engineer,NLP Engineer (Remote),"MongoDB, Terraform, Flask, PyTorch",1 year(s),"BDT 15,000 - 25,000 (Monthly)",https://www.linkedin.com/jobs/view/4339571376
155,Computer Vision Engineer,Lead Computer Vision Engineer,"Linux, JavaScript, Jenkins, Docker",4 year(s),"BDT 40,000/month",https://www.linkedin.com/jobs/view/4000000155
156,Data Scientist,Junior Data Scientist,"PHP, Java, Android, SQL",2 year(s),"৳40,000 - ৳70,000 per month",https://www.linkedin.com/jobs/view/4000000156
